step,time,agent_id,x,y,vx,vy,ax,ay,speed,acceleration_magnitude,field_value,field_delta,neighbor_count,nearest_neighbor_distance,mean_neighbor_distance,avoidance_gain,quark_gain,directional_derivative_gain,linear_drag_gain,action_avoidance,action_quark,action_directional_derivative,action_linear_drag
1,0.1,1,-4.930129528,11.78879738,0.8826611638,-0.7292237282,-0.1876739562,-0.9609332681,1.144927025,0.9790884852,58.56780386,0,4,14.31403255,19.2540524,2.04,0.612,3.5,0.245,1,1,0,-1
1,0.1,2,9.285605431,11.1972847,0.05849078298,0.0964499712,-1.388262153,-0.9725034237,0.1127996817,1.695002913,92.75777501,0,4,14.22259712,24.17654228,2.04,0.612,3.5,0.245,1,1,0,-1
1,0.1,3,-13.81779385,-2.241312504,-0.5853892565,-0.746229887,1.026216745,0.538202405,0.9484406114,1.158784986,23.66271066,0,4,3.953987122,17.16106892,2,0.612,3.43,0.245,0,1,-1,-1
1,0.1,4,-17.59223747,-1.659918547,0.8441643715,-0.2987462282,1.118121386,0.3383654356,0.895467937,1.168197989,1.668149182,0,4,3.906975508,19.35296172,2,0.612,3.43,0.245,0,1,-1,-1
1,0.1,5,4.076755047,-14.24156284,0.3215557933,0.4376400709,-0.9458940625,1.358630419,0.5430717468,1.655473471,64.62676336,0,4,21.54352188,25.04649687,2.04,0.612,3.5,0.245,1,1,0,-1
2,0.2,1,-4.950843811,11.79480839,-0.2071418166,0.06010979414,-10.89802933,7.893335342,0.2156870812,13.45629215,59.02249123,0.4546873647,4,14.22803593,19.21309972,2.0808,0.62424,3.5,0.2401,1,1,0,-1
2,0.2,2,9.312357903,11.25447655,0.2675237656,0.5719190836,2.090329885,4.754691124,0.6313955784,5.193897247,92.73603349,-0.02174151848,4,14.24898338,24.184484,2.0808,0.62424,3.5,0.2401,1,1,0,-1
2,0.2,3,-13.92150784,-2.381201029,-1.037140727,-1.398884416,-4.517514706,-6.526545048,1.741418481,7.937489033,23.40943207,-0.2532785881,4,3.818958521,17.18662316,2,0.62424,3.3614,0.2401,0,1,-1,-1
2,0.2,4,-17.67473412,-1.623456955,-0.8249629736,0.3646156788,-16.69127274,6.633618832,0.9019470811,17.96116638,2.171305915,0.5031567333,4,3.740922928,19.27574873,2,0.62424,3.3614,0.2401,0,1,-1,-1
2,0.2,5,4.025924683,-14.28439426,-0.5083028078,-0.4283111691,-8.298585892,-8.65951252,0.664697051,11.99390221,64.81957798,0.1928146163,4,21.5547123,25.07156277,2.0808,0.62424,3.5,0.2401,1,1,0,-1
3,0.3,1,-5.119735718,11.83232689,-1.688917875,0.3751861155,-14.81776142,3.150763273,1.730089068,15.14903831,58.92671778,-0.09577344938,4,14.27343273,19.28052688,2.122416,0.6367248,3.5,0.235298,1,1,0,-1
3,0.3,2,9.355853081,11.36769104,0.4349547029,1.132143974,1.674309373,5.602248192,1.212821364,5.847093105,92.60246562,-0.1335678746,4,14.44365692,24.34145212,2.122416,0.6367248,3.5,0.235298,1,1,0,-1
3,0.3,3,-14.06346035,-2.58101368,-1.419525146,-1.998127699,-3.823844433,-5.992432117,2.451033592,7.108518124,22.96849707,-0.4409349979,4,3.828953266,17.27939236,2,0.6367248,3.294172,0.235298,0,1,-1,-1
3,0.3,4,-17.90940094,-1.511247993,-2.346667767,1.122090101,-15.21704865,7.574743748,2.601141214,16.99809647,1.669861975,-0.5014439405,4,3.736069202,19.31348002,2,0.6367248,3.294172,0.235298,0,1,-1,-1
3,0.3,5,3.888011694,-14.37827587,-1.379130125,-0.938814044,-8.708272934,-5.105028629,1.668344021,10.0943222,64.62232778,-0.1972501939,4,21.54518509,25.20004892,2.122416,0.6367248,3.5,0.235298,1,1,0,-1
4,0.4,1,-5.437201023,11.8911047,-3.174652576,0.5877734423,-14.85734749,2.125873566,3.228605986,15.00866795,58.15307581,-0.7736419695,4,14.48304367,19.4110446,2.16486432,0.649459296,3.5,0.23059204,1,1,0,-1
4,0.4,2,9.412117004,11.54165363,0.5626428723,1.739629507,1.276881576,6.074854851,1.828353882,6.207599163,92.33036723,-0.2720983929,4,14.8023119,24.63376021,2.16486432,0.649459296,3.5,0.23059204,1,1,0,-1
4,0.4,3,-14.23830223,-2.835844517,-1.748421192,-2.548308611,-3.288959742,-5.501808167,3.090445518,6.409925938,22.3749938,-0.5935032666,4,3.991949081,17.42927122,2,0.649459296,3.22828856,0.23059204,0,1,-1,-1
4,0.4,4,-18.28634262,-1.322015762,-3.769410849,1.892322063,-14.22743034,7.702318668,4.217741013,16.17855072,0.2287486752,-1.4411133,4,3.902758121,19.45047009,2,0.649459296,3.22828856,0.23059204,0,1,-1,-1
4,0.4,5,3.667759895,-14.50685024,-2.202517986,-1.285739422,-8.233878136,-3.469253063,2.550335646,8.934901237,64.18149443,-0.4408333505,4,21.48932266,25.39985752,2.16486432,0.649459296,3.5,0.23059204,1,1,0,-1
5,0.5,1,-5.902987957,11.96535397,-4.65787077,0.7424964309,-14.83218193,1.547229648,4.716679096,14.91266346,56.69039763,-1.462678173,4,14.85342884,19.59112144,2.208161606,0.6624484819,3.5,0.2259801992,1,1,0,-1
5,0.5,2,9.477618217,11.77985764,0.6550151706,2.382040977,0.9237232208,6.424115658,2.470458269,6.490186691,91.899948,-0.4304192287,4,15.32096577,25.05320477,2.208161606,0.6624484819,3.5,0.2259801992,1,1,0,-1
5,0.5,3,-14.44165993,-3.141076326,-2.033573389,-3.052318096,-2.851522446,-5.040094852,3.667705774,5.790832043,21.65632345,-0.7186703539,4,4.321840763,17.63510191,2,0.6624484819,3.163722789,0.2259801992,0,1,-1,-1
5,0.5,4,-18.73002243,-1.091476202,-4.436795235,2.305395126,-14.0833683,7.980780125,5,16.18746758,-2.108844082,-2.337592757,4,4.253300667,19.68140817,2.04,0.649459296,3.292854331,0.2259801992,1,0,1,-1
5,0.5,5,3.371080875,-14.65909386,-2.966790199,-1.522437334,-7.642721176,-2.366979599,3.334615231,8.000861168,63.57276566,-0.6087287677,4,21.38064384,25.63975716,2.208161606,0.6624484819,3.5,0.2259801992,1,1,0,-1
6,0.6,1,-6.39815855,12.03468037,-4.951705456,0.6932636499,-15.22165203,1.227396488,5,15.27105713,54.50800928,-2.182388355,4,15.38172436,19.80778575,2.252324839,0.6624484819,3.57,0.2214605952,1,0,1,-1
6,0.6,2,9.549173355,12.08529949,0.7155479789,3.054421663,0.6053278446,6.723807335,3.137116671,6.751000404,91.29184037,-0.6081076303,4,15.87782097,25.55248308,2.252324839,0.6756974516,3.5,0.2214605952,1,1,0,-1
6,0.6,3,-14.66981506,-3.492338181,-2.281556129,-3.51261878,-2.479827881,-4.603007793,4.188554764,5.22850132,20.8351964,-0.8211270539,4,4.752989769,17.88891339,2,0.6756974516,3.100448333,0.2214605952,0,1,-1,-1
6,0.6,4,-19.17086601,-0.8555580974,-4.408431053,2.359181166,-14.19347,8.285315514,5,16.43475151,-4.88703931,-2.778195228,4,4.716929436,19.96474671,2.0808,0.649459296,3.358711418,0.2214605952,1,0,1,-1
6,0.6,5,3.004197359,-14.82661343,-3.668834925,-1.675194621,-7.020447731,-1.527572989,4.033190727,7.184717655,62.85136815,-0.7213975177,4,21.2172184,25.88092089,2.252324839,0.6756974516,3.5,0.2214605952,1,1,0,-1
7,0.7,1,-6.894495964,12.09508705,-4.963376522,0.6040639281,-15.97017574,1.037436604,5,16.00383759,52.13410191,-2.373907368,4,15.94741249,20.03655815,2.297371335,0.6624484819,3.6414,0.2170313833,1,0,1,-1
7,0.7,2,9.623857498,12.46080112,0.7468422651,3.755015373,0.3129428029,7.005936146,3.828565598,7.012922287,90.48507759,-0.8067627777,4,16.44367027,26.10928392,2.297371335,0.6892114006,3.5,0.2170313833,1,1,0,-1
7,0.7,3,-14.92115879,-3.887825966,-2.513434172,-3.954877138,-2.318780184,-4.422583103,4.685979366,4.99359417,19.93119086,-0.904005537,4,5.216518879,18.17378676,2.04,0.6756974516,3.1624573,0.2170313833,1,0,1,-1
7,0.7,4,-19.60886192,-0.6143941879,-4.379953861,2.411638975,-14.48196602,8.655264854,5,16.87130547,-7.672861921,-2.785822611,4,5.220599651,20.24979341,2.122416,0.649459296,3.425885646,0.2170313833,1,0,1,-1
7,0.7,5,2.572258234,-15.00357151,-4.319391251,-1.769584656,-6.505563736,-0.9438999891,4.667822838,6.573682785,62.06047604,-0.790892107,4,20.99941635,26.11762381,2.297371335,0.6756974516,3.57,0.2170313833,1,0,1,-1
8,0.8,1,-7.391829491,12.14665604,-4.973335743,0.515686512,-16.81787109,0.8497485518,5,16.83932495,49.69767249,-2.436429422,4,16.5223999,20.27240849,2.343318762,0.6624484819,3.714228,0.2126907556,1,0,1,-1
8,0.8,2,9.69961834,12.91123772,0.7576126456,4.504367828,0.1077040881,7.493525028,4.567636967,7.494298935,89.45618799,-1.028889601,4,17.01858521,26.7221694,2.343318762,0.6892114006,3.57,0.2126907556,1,0,1,-1
8,0.8,3,-15.18575096,-4.31207943,-2.645917892,-4.242536545,-2.179023266,-4.246224403,5,4.772689342,18.95509064,-0.9761002167,4,5.71750927,18.49099278,2.0808,0.6756974516,3.225706446,0.2126907556,1,0,1,-1
8,0.8,4,-20.04400444,-0.3681199551,-4.351425648,2.462742329,-14.76358986,9.028123856,5.000000477,17.30521965,-10.46441798,-2.791556057,4,5.765135288,20.53749859,2.16486432,0.649459296,3.494403359,0.2126907556,1,0,1,-1
8,0.8,5,2.103218794,-15.17678261,-4.690393925,-1.732109904,-6.003988743,-0.4723874927,5,6.02254343,61.22931991,-0.8311561316,4,20.7281189,26.34950447,2.343318762,0.6756974516,3.6414,0.2126907556,1,0,1,-1
9,0.9,1,-7.88999176,12.1894865,-4.981621742,0.4283075929,-17.68840218,0.6398922801,5,17.69997215,47.19885651,-2.498815981,4,17.10854149,20.51040173,2.390185137,0.6624484819,3.78851256,0.2084369405,1,0,1,-1
