gaussian_id,center_x,center_y,amplitude,sigma
0,29.65429878,-31.65652084,55.93819952,16.93700323
1,-5.416724205,-40.00250626,-8.150222429,11.67417223
2,-35.71331787,15.08884716,-88.71768471,19.43997543
3,43.85527039,-49.92212296,98.44231285,17.34963015
4,11.16531658,-49.29336929,-95.38751429,15.49549324
5,-10.01390266,-45.33343506,94.75110449,9.655426808
6,-40.93935776,11.83860111,-23.50760199,24.66461772
7,-3.323710203,35.99404144,36.06150777,14.00998507
8,-48.67350388,44.2201767,12.65764301,12.70833013
9,-48.40337372,-26.91061783,-51.79490616,18.66527049
10,10.99966526,33.31949234,-65.32707056,12.82121219
11,-31.77639198,25.53614044,-14.96882451,9.158833276
12,6.770032883,-46.86867142,68.4569546,13.99508258
13,-10.48497677,42.66588593,45.45439922,11.53081543
14,7.044397831,2.083426714,92.23440574,21.89067701
15,24.7320118,3.969213009,17.35023371,24.30510622
16,10.70342541,-22.40008163,-40.74529874,8.30533883
17,-48.43635941,-7.659852505,-21.02369663,10.86976353
18,-48.59201813,-30.1157589,42.26838982,20.80351071
19,10.59599781,42.63008881,30.21540611,23.29919351
