step,time,best_field,mean_field,cumulative_best_mean,avg_speed,swarm_radius
1,0.1,2.171305915,48.43176814,48.20163639,0.7289414003,17.50885081
2,0.2,1.669861975,48.15797404,48.0858487,0.8310290545,17.52934389
3,0.3,0.2287486752,47.45373599,47.45373599,1.932685852,17.60076765
4,0.4,-2.108844082,46.34211813,46.34211813,2.983096409,17.86437573
5,0.5,-4.88703931,44.91987498,44.91987498,3.837891674,18.26468761
6,0.6,-7.672861921,43.3875969,43.3875969,4.271772432,18.72755274
7,0.7,-10.46441798,41.77477061,41.77477061,4.63647356,19.24648021
8,0.8,-13.25975679,40.09565713,40.09565713,4.913527489,19.81333885
9,0.9,-16.05686395,38.38711059,38.38711059,5.000000095,20.39738447
10,1,-18.85366379,36.67228136,36.67228136,4.999999905,20.97384512
11,1.1,-21.64802247,34.95037635,34.95037635,4.999999714,21.54231762
12,1.2,-24.43771927,33.22069716,33.22069716,5.000000095,22.10240198
13,1.3,-27.22050416,31.4826954,31.4826954,5,22.65370209
14,1.4,-29.99405828,29.73604622,29.73604622,4.999999905,23.19582916
15,1.5,-32.75602045,27.9807065,27.9807065,5.000000095,23.72840011
16,1.6,-35.50397034,26.21695796,26.21695796,5,24.25104055
17,1.7,-38.23545473,24.44544535,24.44544535,4.999999809,24.76338147
18,1.8,-40.94797318,22.66719497,22.66719497,5.000000095,25.26506302
19,1.9,-43.63901323,20.88362074,20.88362074,4.999999905,25.75573275
20,2,-46.30602609,19.09653031,19.09653031,5,26.23504361
21,2.1,-48.94644158,17.30810793,17.30810793,5,26.70265089
22,2.2,-51.55767655,15.52088687,15.52088687,4.999999809,27.15821404
23,2.3,-54.13714888,13.73772376,13.73772376,5.000000191,27.60139021
24,2.4,-56.68227389,11.96174985,11.96174985,5.000000095,28.03183547
25,2.5,-59.19045951,10.19633808,10.19633808,4.999999905,28.44919973
26,2.6,-61.65913336,8.445048852,8.445048852,5,28.85312213
27,2.7,-64.08574583,6.711571488,6.711571488,5,29.24323049
28,2.8,-66.46774719,4.999686343,4.999686343,5,29.61913654
29,2.9,-68.80263953,3.313197219,3.313197219,5,29.98043384
30,3,-71.08794072,1.655878905,1.655878905,5,30.32669005
31,3.1,-73.32120123,0.03142646822,0.03142646822,5,30.65744813
32,3.2,-75.50002068,-1.556614438,-1.556614438,5,30.97222046
33,3.3,-77.62202591,-3.104887089,-3.104887089,5,31.2704839
34,3.4,-79.68489708,-4.610300768,-4.610300768,5.000000095,31.55168131
35,3.5,-81.6863532,-6.070081087,-6.070081087,5.000000095,31.81521648
36,3.6,-83.6241532,-7.481835274,-7.481835274,5,32.06045507
37,3.7,-85.49611776,-8.843617468,-8.843617468,4.999999905,32.28672742
38,3.8,-87.30009963,-10.15398937,-10.15398937,5.000000095,32.49333094
39,3.9,-89.03401508,-11.41209898,-11.43622052,4.999999905,32.67954612
40,4,-90.69581073,-12.620111,-12.69649377,4.961937523,32.84627527
41,4.1,-92.28349547,-13.78419094,-13.93380963,4.884872055,32.99588528
42,4.2,-93.79513531,-14.91351423,-15.14727035,4.770346737,33.13242976
43,4.3,-95.22882511,-16.01904349,-16.33607065,4.620508337,33.26214828
44,4.4,-96.58271665,-17.11181397,-17.49950466,4.441588831,33.3936256
45,4.5,-97.85502969,-18.20356638,-18.63695215,4.235660982,33.54074439
46,4.6,-99.04402315,-19.31074551,-19.74788054,4.044174325,33.7313969
47,4.7,-100.1480247,-20.3887945,-20.83184007,4.061547655,33.9312912
48,4.8,-101.1654122,-21.43994878,-21.88844718,4.088422757,34.11494159
49,4.9,-102.0946503,-22.45590652,-22.91739182,4.056769836,34.29561927
50,5,-102.9342672,-23.50558762,-23.91843845,4.211795712,34.58418912
51,5.1,-103.6828719,-24.59017086,-24.89142033,4.478240776,34.97983391
52,5.2,-104.3391772,-25.71383767,-25.83623342,4.746328878,35.48320435
53,5.3,-104.9020044,-26.87826384,-26.87826384,5.000000191,36.088483
54,5.4,-105.3703072,-28.02270157,-28.02270157,5,36.69412057
55,5.5,-105.7431831,-29.1458871,-29.1458871,5.000000095,37.30003058
56,5.6,-106.0198775,-30.24655617,-30.24655617,4.999999809,37.90611607
57,5.7,-106.1998044,-31.32345337,-31.32345337,5.000000095,38.51227537
58,5.8,-106.2825561,-32.37533392,-32.37533392,4.999999905,39.11839932
59,5.9,-106.2688133,-33.40114302,-33.40389159,4.985658741,39.72451179
60,6,-106.1674667,-34.40144655,-34.42446444,4.940432739,40.33077554
61,6.1,-105.9981898,-35.37895198,-35.43582524,4.865486336,40.93731033
62,6.2,-105.7887643,-36.337969,-36.43672736,4.76297698,41.54419227
63,6.3,-105.5713297,-37.28367759,-37.42592287,4.635980415,42.15146321
64,6.4,-105.3783883,-38.2213305,-38.40216407,4.48769989,42.75913147
65,6.5,-105.2383874,-39.1553868,-39.36422055,4.322690964,43.36720822
66,6.6,-105.1719504,-40.08876268,-40.31088382,4.146110106,43.97574441
