row_type,generation,rank,population_size,score,score_mean,score_median,score_std,score_min,score_max,best_rank,best_tree_summary,mean_score,field_count,trials_per_field,total_eval_runs,agent_count,seed,field_seed,eval_field_index,eval_trial_index,eval_field_seed,eval_run_seed,max_steps,steps_executed,converged,converge_step,best_field_final,mean_field_final,best_field_min_over_run,improvement_from_start,swarm_radius_final,avg_speed_final,runtime_ms,tree_summary
candidate,1,1,,1.5220516301750002,,,,,,,,1.5220516301750002,2,2,4,2,4,20260408,1,1,20260408,4,3,3,0,-1,12.3048,13.6994,12.3048,0.23325,0.81867,0.936259,0.025458,"0: split feature=accel threshold=4.5536 | 1: split feature=speed threshold=1.2753 | 2: split feature=neighbor_count threshold=9.1315 | 3: split feature=neighbor_count threshold=7.8191 | 4: split feature=accel threshold=0.7509 | 5: split feature=speed threshold=4.4666 | 6: split feature=neighbor_count threshold=5.1932 | 7: leaf actions=[-1, 1, 0, 0] | 8: leaf actions=[1, -1, 1, -1] | 9: leaf actions=[0, -1, -1, -1] | 10: leaf actions=[1, 1, -1, 0] | 11: leaf actions=[1, -1, 0, 1] | 12: leaf actions=[-1, 1, -1, 0] | 13: leaf actions=[0, 1, -1, 0] | 14: leaf actions=[-1, 1, -1, 0]"
candidate,1,2,,1.506825320825,,,,,,,,1.506825320825,2,2,4,2,4,20260408,1,1,20260408,4,3,3,0,-1,12.2981,13.7016,12.2981,0.231037,0.824167,0.924882,0.026042,"0: split feature=field_delta threshold=0.0000 | 1: split feature=neighbor_count threshold=0.4858 | 2: split feature=nearest_neighbor_distance threshold=24.2964 | 3: split feature=field_delta threshold=46.7800 | 4: split feature=field_delta threshold=8.3382 | 5: split feature=accel threshold=4.0375 | 6: split feature=field_delta threshold=-36.0254 | 7: leaf actions=[-1, 1, 0, 1] | 8: leaf actions=[1, 1, -1, 0] | 9: leaf actions=[-1, 1, -1, 1] | 10: leaf actions=[0, 0, 1, -1] | 11: leaf actions=[0, 0, 0, 1] | 12: leaf actions=[1, -1, 1, 0] | 13: leaf actions=[0, 1, 0, -1] | 14: leaf actions=[1, -1, -1, 1]"
generation,1,,2,1.5220516301750002,1.5144384755,1.5144384755,0.007613154675000122,1.506825320825,1.5220516301750002,1,"0: split feature=accel threshold=4.5536 | 1: split feature=speed threshold=1.2753 | 2: split feature=neighbor_count threshold=9.1315 | 3: split feature=neighbor_count threshold=7.8191 | 4: split feature=accel threshold=0.7509 | 5: split feature=speed threshold=4.4666 | 6: split feature=neighbor_count threshold=5.1932 | 7: leaf actions=[-1, 1, 0, 0] | 8: leaf actions=[1, -1, 1, -1] | 9: leaf actions=[0, -1, -1, -1] | 10: leaf actions=[1, 1, -1, 0] | 11: leaf actions=[1, -1, 0, 1] | 12: leaf actions=[-1, 1, -1, 0] | 13: leaf actions=[0, 1, -1, 0] | 14: leaf actions=[-1, 1, -1, 0]",1.5220516301750002,2,2,4,2,4,20260408,1,1,20260408,4,3,3.0,0.0,-1,12.301449999999999,13.7005,12.2981,0.2321435,0.8214185,0.9305705,0.025750000000000002,
candidate,1,1,,106.38504453574998,,,,,,,,106.38504453574998,10,10,100,5,100,20260416,9,9,20260416,100,7500,1032,1,1032,-202.915,-201.976,-202.994,174.657,2.92639,0.524784,15.0486,"0: split feature=speed threshold=3.7339 | 1: split feature=neighbor_count threshold=6.1714 | 2: split feature=neighbor_count threshold=0.9170 | 3: split feature=nearest_neighbor_distance threshold=44.1348 | 4: split feature=nearest_neighbor_distance threshold=29.2299 | 5: split feature=speed threshold=1.7591 | 6: split feature=neighbor_count threshold=0.0768 | 7: leaf actions=[0, 1, 1, 1] | 8: leaf actions=[-1, 1, -1, 0] | 9: leaf actions=[1, 1, 0, 1] | 10: leaf actions=[1, 1, 1, 0] | 11: leaf actions=[1, 0, 1, 1] | 12: leaf actions=[0, 1, 1, 1] | 13: leaf actions=[0, 0, 0, -1] | 14: leaf actions=[1, 0, 1, -1]"
candidate,1,2,,105.41997284222843,,,,,,,,105.41997284222843,10,10,100,5,100,20260416,9,9,20260416,100,7500,761,1,761,-196.545,-195.51,-203.001,174.346,2.15675,0.347226,10.5823,"0: split feature=mean_neighbor_distance threshold=14.9303 | 1: split feature=accel threshold=7.0043 | 2: split feature=field_delta threshold=-42.9273 | 3: split feature=speed threshold=1.5518 | 4: split feature=field_delta threshold=24.3842 | 5: split feature=neighbor_count threshold=6.7793 | 6: split feature=accel threshold=0.0678 | 7: leaf actions=[-1, 1, -1, 1] | 8: leaf actions=[0, -1, 1, 1] | 9: leaf actions=[1, -1, 0, -1] | 10: leaf actions=[0, -1, -1, 1] | 11: leaf actions=[1, 0, 1, -1] | 12: leaf actions=[0, -1, 1, 0] | 13: leaf actions=[0, 1, 0, -1] | 14: leaf actions=[0, 1, 0, 0]"
candidate,1,3,,104.91855045985999,,,,,,,,104.91855045985999,10,10,100,5,100,20260416,9,9,20260416,100,7500,971,1,971,-202.908,-201.576,-203.001,174.692,3.30753,2.20351,14.2782,"0: split feature=field_delta threshold=18.6771 | 1: split feature=accel threshold=5.3041 | 2: split feature=neighbor_count threshold=3.9577 | 3: split feature=field_delta threshold=46.9595 | 4: split feature=mean_neighbor_distance threshold=31.7804 | 5: split feature=accel threshold=0.4815 | 6: split feature=nearest_neighbor_distance threshold=8.7638 | 7: leaf actions=[0, 1, 1, 1] | 8: leaf actions=[1, 1, -1, 0] | 9: leaf actions=[1, 0, 1, -1] | 10: leaf actions=[1, 1, 0, 1] | 11: leaf actions=[-1, 1, 0, 1] | 12: leaf actions=[1, 1, -1, 0] | 13: leaf actions=[-1, -1, -1, -1] | 14: leaf actions=[-1, 0, -1, -1]"
candidate,1,4,,103.24657278962002,,,,,,,,103.24657278962002,10,10,100,5,100,20260416,9,9,20260416,100,7500,1467,1,1467,-168.561,-139.796,-202.979,174.35,5.55634,0.654554,21.3059,"0: split feature=speed threshold=0.9230 | 1: split feature=neighbor_count threshold=11.2703 | 2: split feature=nearest_neighbor_distance threshold=2.5053 | 3: split feature=speed threshold=4.8930 | 4: split feature=mean_neighbor_distance threshold=13.2865 | 5: split feature=speed threshold=1.0217 | 6: split feature=speed threshold=3.1607 | 7: leaf actions=[1, 1, -1, -1] | 8: leaf actions=[-1, 1, -1, 1] | 9: leaf actions=[0, -1, 1, 0] | 10: leaf actions=[0, 1, 0, -1] | 11: leaf actions=[-1, 1, 0, -1] | 12: leaf actions=[0, 0, 1, 0] | 13: leaf actions=[1, -1, 0, 1] | 14: leaf actions=[-1, 0, 0, -1]"
candidate,1,5,,101.79779533922387,,,,,,,,101.79779533922387,10,10,100,5,100,20260416,9,9,20260416,100,7500,924,1,924,-202.6,-165.699,-202.968,143.981,35.8834,2.88258,13.2577,"0: split feature=accel threshold=2.0638 | 1: split feature=speed threshold=3.9653 | 2: split feature=neighbor_count threshold=11.7157 | 3: split feature=speed threshold=0.3116 | 4: split feature=field_delta threshold=8.0071 | 5: split feature=nearest_neighbor_distance threshold=6.2565 | 6: split feature=field_delta threshold=48.3217 | 7: leaf actions=[0, 0, 1, 0] | 8: leaf actions=[-1, 1, -1, -1] | 9: leaf actions=[0, -1, -1, 1] | 10: leaf actions=[0, 1, 1, 0] | 11: leaf actions=[1, 1, 1, -1] | 12: leaf actions=[-1, 0, 0, 1] | 13: leaf actions=[0, -1, 1, 0] | 14: leaf actions=[0, 1, 1, 1]"
generation,1,,30,106.38504453574998,94.01019269485464,95.47990675267542,9.330897211266276,63.219605308119036,106.38504453574998,1,"0: split feature=speed threshold=3.7339 | 1: split feature=neighbor_count threshold=6.1714 | 2: split feature=neighbor_count threshold=0.9170 | 3: split feature=nearest_neighbor_distance threshold=44.1348 | 4: split feature=nearest_neighbor_distance threshold=29.2299 | 5: split feature=speed threshold=1.7591 | 6: split feature=neighbor_count threshold=0.0768 | 7: leaf actions=[0, 1, 1, 1] | 8: leaf actions=[-1, 1, -1, 0] | 9: leaf actions=[1, 1, 0, 1] | 10: leaf actions=[1, 1, 1, 0] | 11: leaf actions=[1, 0, 1, 1] | 12: leaf actions=[0, 1, 1, 1] | 13: leaf actions=[0, 0, 0, -1] | 14: leaf actions=[1, 0, 1, -1]",106.38504453574998,10,10,100,5,100,20260416,9,9,20260416,100,7500,1650.0,0.9333333333333333,1032,-175.9483587,-155.23204762666666,-203.001,154.45226666666667,20.5784975,1.4932993509999999,23.377045666666668,
candidate,2,1,,106.59170536947663,,,,,,,,106.59170536947663,10,10,100,5,100,20260416,9,9,20260416,100,7500,771,1,771,-159.078,-152.344,-202.982,174.305,2.84966,1.61415,11.7365,"0: split feature=speed threshold=0.9230 | 1: split feature=neighbor_count threshold=9.4861 | 2: split feature=nearest_neighbor_distance threshold=2.5053 | 3: split feature=speed threshold=5.0000 | 4: split feature=neighbor_count threshold=10.7330 | 5: split feature=neighbor_count threshold=6.7793 | 6: split feature=speed threshold=3.1607 | 7: leaf actions=[-1, 1, -1, -1] | 8: leaf actions=[-1, 1, -1, 1] | 9: leaf actions=[1, -1, 0, 0] | 10: leaf actions=[1, 1, 0, -1] | 11: leaf actions=[1, 0, 1, -1] | 12: leaf actions=[-1, -1, 0, 0] | 13: leaf actions=[1, 1, 0, 1] | 14: leaf actions=[-1, -1, 0, 0]"
candidate,2,2,,106.38511232934998,,,,,,,,106.38511232934998,10,10,100,5,100,20260416,9,9,20260416,100,7500,1032,1,1032,-202.915,-201.976,-202.994,174.657,2.92639,0.524784,15.036,"0: split feature=speed threshold=3.7339 | 1: split feature=neighbor_count threshold=6.1714 | 2: split feature=neighbor_count threshold=0.9170 | 3: split feature=nearest_neighbor_distance threshold=44.1348 | 4: split feature=nearest_neighbor_distance threshold=29.2299 | 5: split feature=speed threshold=1.7591 | 6: split feature=neighbor_count threshold=0.0768 | 7: leaf actions=[0, 1, 1, 1] | 8: leaf actions=[-1, 1, -1, 0] | 9: leaf actions=[1, 1, 0, 1] | 10: leaf actions=[1, 1, 1, 0] | 11: leaf actions=[1, 0, 1, 1] | 12: leaf actions=[0, 1, 1, 1] | 13: leaf actions=[0, 0, 0, -1] | 14: leaf actions=[1, 0, 1, -1]"
